label,type,Experiment,ItemId,Question,Condition,Correct_Answer,Question_type,group,sentence,Phrase1,Phrase2,Phrase3,Phrase4,Phrase5,Phrase6,Phrase7,Phrase8,Phrase9,Phrase10,Phrase11,Phrase12,Phrase13,Phrase14,alternative
rc_c_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,c,1,4,list3,警察 拦住了 那辆 当时 撞了 自行车 两次 的 吉普车 并且 要求 调查清楚。,警察,拦住了,那辆,当时,撞了,自行车,两次,的,吉普车,并且,要求,调查清楚。,,,X-X-X 季节性 烹调 解决 啊呀 奴隶主 烦恼 种 细胞质 矛盾 影响 氢氧化钠。
rc_d_4,rc,RCs_SPR_ET,4,警察拦住了吉普车吗？,d,1,4,list4,警察 拦住了 那辆 当时 自行车 撞了 两次 的 吉普车 并且 要求 调查清楚。,警察,拦住了,那辆,当时,自行车,撞了,两次,的,吉普车,并且,要求,调查清楚。,,,X-X-X 季节性 烹调 解决 啊呀 奴隶主 烦恼 种 细胞质 矛盾 影响 氢氧化钠。
rc_a_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,a,1,1,list2,那个 刚才 推了 男孩 一下 的 妇人 抢了 店员 并且 打伤了 她。,那个,刚才,推了,男孩,一下,的,妇人,抢了,店员,并且,打伤了,她。,,,X-X-X 溶液 玳瑁 讽刺 基础 种 免疫 蘑菇 唠叨 获得 氯酸钾 种。
rc_b_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,b,1,1,list3,那个 刚才 男孩 推了 一下 的 妇人 抢了 店员 并且 打伤了 她。,那个,刚才,男孩,推了,一下,的,妇人,抢了,店员,并且,打伤了,她。,,,X-X-X 溶液 玳瑁 讽刺 基础 种 免疫 蘑菇 唠叨 获得 氯酸钾 种。
rc_c_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,c,2,1,list4,店员 抢了 那个 刚才 推了 男孩 一下 的 妇人 并且 打伤了 她。,店员,抢了,那个,刚才,推了,男孩,一下,的,妇人,并且,打伤了,她。,,,X-X-X 佛经 矛盾 溶液 猖獗 淡淡 基础 种 免疫 获得 碳酸钙 能。
rc_d_5,rc,RCs_SPR_ET,5,妇人抢了店员吗？,d,2,1,list1,店员 抢了 那个 刚才 男孩 推了 一下 的 妇人 并且 打伤了 她。,店员,抢了,那个,刚才,男孩,推了,一下,的,妇人,并且,打伤了,她。,,,X-X-X 佛经 矛盾 溶液 猖獗 淡淡 基础 种 免疫 获得 碳酸钙 能。
rc_a_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,a,2,2,list2,那个 上个月 邀请了 男孩 几次 的 女孩 认识 王老师 因为 上过 她的课。,那个,上个月,邀请了,男孩,几次,的,女孩,认识,王老师,因为,上过,她的课。,,,X-X-X 蒸馏水 吴佩孚 毁灭 宗旨 种 贮藏 革命 氧化铜 研究 蘑菇 愈来愈。
rc_b_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,b,1,2,list3,那个 上个月 男孩 邀请了 几次 的 女孩 认识 王老师 因为 上过 她的课。,那个,上个月,男孩,邀请了,几次,的,女孩,认识,王老师,因为,上过,她的课。,,,X-X-X 蒸馏水 吴佩孚 毁灭 宗旨 种 贮藏 革命 氧化铜 研究 蘑菇 愈来愈。
rc_c_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,c,2,2,list4,王老师 认识 那个 上个月 邀请了 男孩 几次 的 女孩 因为 教过 她的课。,王老师,认识,那个,上个月,邀请了,男孩,几次,的,女孩,因为,教过,她的课。,,,X-X-X 物质 矛盾 林则徐 畜牧业 毁灭 腐烂 种 贮藏 研究 疙瘩 氨基酸。
rc_d_6,rc,RCs_SPR_ET,6,男孩邀请了女孩吗？,d,1,2,list1,王老师 认识 那个 上个月 男孩 邀请了 几次 的 女孩 因为 教过 她的课。,王老师,认识,那个,上个月,男孩,邀请了,几次,的,女孩,因为,教过,她的课。,,,X-X-X 物质 矛盾 林则徐 畜牧业 毁灭 腐烂 种 贮藏 研究 疙瘩 氨基酸。
rc_a_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,a,1,3,list2,那条 去年 救了 主人 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,那条,去年,救了,主人,好几次,的,狗,喜欢,小男孩,所以,很,兴奋。,,,X-X-X 检查 势必 压迫 纯收入 着 亩 广泛 碳酸钠 研究 两 途径。
rc_b_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,b,2,3,list3,那条 去年 主人 救了 好几次 的 狗 喜欢 小男孩 所以 很 兴奋。,那条,去年,主人,救了,好几次,的,狗,喜欢,小男孩,所以,很,兴奋。,,,X-X-X 检查 势必 压迫 纯收入 着 亩 广泛 碳酸钠 研究 两 途径。
rc_c_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,c,1,3,list4,小男孩 喜欢 那条 去年 救了 主人 好几次 的 狗 所以 很 兴奋。,小男孩,喜欢,那条,去年,救了,主人,好几次,的,狗,所以,很,兴奋。,,,X-X-X 妇女 艰辛 检查 杨柳 压迫 愈来愈 着 亩 研究 呢 途径。
rc_d_7,rc,RCs_SPR_ET,7,那条狗救了主人吗？,d,2,3,list1,小男孩 喜欢 那条 去年 主人 救了 好几次 的 狗 所以 很 兴奋。,小男孩,喜欢,那条,去年,主人,救了,好几次,的,狗,所以,很,兴奋。,,,X-X-X 妇女 艰辛 检查 杨柳 压迫 愈来愈 着 亩 研究 呢 途径。
rc_a_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,a,2,4,list2,那个 刚才 推了 职业选手 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,那个,刚才,推了,职业选手,一下,的,业余选手,骂了,裁判,而且,威胁了,他。,,,X-X-X 溶液 茂密 通货膨胀 民族 种 剥削阶级 诗句 哺乳 必须 畜牧业 种。
rc_b_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,b,2,4,list3,那个 刚才 职业选手 推了 一下 的 业余选手 骂了 裁判 而且 威胁了 他。,那个,刚才,职业选手,推了,一下,的,业余选手,骂了,裁判,而且,威胁了,他。,,,X-X-X 溶液 茂密 通货膨胀 民族 种 剥削阶级 诗句 哺乳 必须 畜牧业 种。
rc_c_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,c,1,4,list4,裁判 骂了 那个 刚才 推了 职业选手 一下 的 业余选手 而且 警告了 他。,裁判,骂了,那个,刚才,推了,职业选手,一下,的,业余选手,而且,警告了,他。,,,X-X-X 庄稼 矛盾 溶液 嫂子 私有财产 民族 种 急急忙忙 必须 卵细胞 种。
rc_d_8,rc,RCs_SPR_ET,8,裁判骂了那个业余选手吗？,d,1,4,list1,裁判 骂了 那个 刚才 职业选手 推了 一下 的 业余选手 而且 警告了 他。,裁判,骂了,那个,刚才,职业选手,推了,一下,的,业余选手,而且,警告了,他。,,,X-X-X 庄稼 矛盾 溶液 嫂子 私有财产 民族 种 急急忙忙 必须 卵细胞 种。
rc_a_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,a,1,1,list3,这个 上个月 监视了 杀手 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,这个,上个月,监视了,杀手,一段时间,的,侦探,讨厌,当地人,所以,没有,寻求帮助。,,,X-X-X 卵细胞 卵细胞 毫无 自负盈亏 种 槐树 船舶 林巧稚 科学 研究 氢氧化钠。
rc_b_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,b,1,1,list4,这个 上个月 杀手 监视了 一段时间 的 侦探 讨厌 当地人 所以 没有 寻求帮助。,这个,上个月,杀手,监视了,一段时间,的,侦探,讨厌,当地人,所以,没有,寻求帮助。,,,X-X-X 卵细胞 卵细胞 毫无 自负盈亏 种 槐树 船舶 林巧稚 科学 研究 氢氧化钠。
rc_c_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,c,2,1,list1,当地人 讨厌 这个 上个月 监视了 杀手 一段时间 的 侦探 所以 没有 提供帮助。,当地人,讨厌,这个,上个月,监视了,杀手,一段时间,的,侦探,所以,没有,提供帮助。,,,X-X-X 葡萄 生产 赤裸裸 乒乓球 核桃 干干净净 种 槐树 必须 研究 环境污染。
rc_d_9,rc,RCs_SPR_ET,9,这个侦探讨厌当地人吗？,d,2,1,list2,当地人 讨厌 这个 上个月 杀手 监视了 一段时间 的 侦探 所以 没有 提供帮助。,当地人,讨厌,这个,上个月,杀手,监视了,一段时间,的,侦探,所以,没有,提供帮助。,,,X-X-X 葡萄 生产 赤裸裸 乒乓球 核桃 干干净净 种 槐树 必须 研究 环境污染。
rc_a_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,a,2,2,list3,那位 最近 抱怨了 房东 好多次 的 住户 找了 律师 而且 打算 起诉。,那位,最近,抱怨了,房东,好多次,的,住户,找了,律师,而且,打算,起诉。,,,X-X-X 溶液 玻璃窗 存贮 白崇禧 种 蒸腾 八旗 崩溃 技术 细菌 痉挛。
rc_b_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,b,1,2,list4,那位 最近 房东 抱怨了 好多次 的 住户 找了 律师 而且 打算 起诉。,那位,最近,房东,抱怨了,好多次,的,住户,找了,律师,而且,打算,起诉。,,,X-X-X 溶液 玻璃窗 存贮 白崇禧 种 蒸腾 八旗 崩溃 技术 细菌 痉挛。
rc_c_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,c,2,2,list1,律师 找了 那位 最近 抱怨了 房东 好多次 的 住户 而且 打算 起诉。,律师,找了,那位,最近,抱怨了,房东,好多次,的,住户,而且,打算,起诉。,,,X-X-X 牢固 皮肤 溶液 玻璃窗 存贮 碳酸钙 种 吞噬 世界 细菌 痉挛。
rc_d_10,rc,RCs_SPR_ET,10,房东多次抱怨了住户吗？,d,1,2,list2,律师 找了 那位 最近 房东 抱怨了 好多次 的 住户 而且 打算 起诉。,律师,找了,那位,最近,房东,抱怨了,好多次,的,住户,而且,打算,起诉。,,,X-X-X 牢固 皮肤 溶液 玻璃窗 存贮 碳酸钙 种 吞噬 世界 细菌 痉挛。
rc_c_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,c,1,3,list1,女歌星 爱上了 那个 上个月 骂了 教练 一顿 的 球员 还 送他 礼物。,女歌星,爱上了,那个,上个月,骂了,教练,一顿,的,球员,还,送他,礼物。,,,X-X-X 障碍物 矛盾 障碍物 颌骨 祭祀 腼腆 种 孵化 种 螳螂 厌恶。
rc_d_11,rc,RCs_SPR_ET,11,球员上个月骂了教练吗？,d,2,3,list2,女歌星 爱上了 那个 上个月 教练 骂了 一顿 的 球员 还 送他 礼物。,女歌星,爱上了,那个,上个月,教练,骂了,一顿,的,球员,还,送他,礼物。,,,X-X-X 障碍物 矛盾 障碍物 颌骨 祭祀 腼腆 种 孵化 种 螳螂 厌恶。
rc_a_12,rc,RCs_SPR_ET,12,小提琴手崇拜了指挥家很久吗？,a,2,4,list3,那位 以前 崇拜了 指挥家 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,那位,以前,崇拜了,指挥家,很久,的,作曲家,结识了,小提琴手,并且,两人,常见面。,,,X-X-X 细胞 啄木鸟 饲养员 短短 种 氧化物 叶倩倩 自负盈亏 实践 嚷嚷 氧化铜。
rc_b_12,rc,RCs_SPR_ET,12,小提琴手崇拜了指挥家很久吗？,b,2,4,list4,那位 以前 指挥家 崇拜了 很久 的 作曲家 结识了 小提琴手 并且 两人 常见面。,那位,以前,指挥家,崇拜了,很久,的,作曲家,结识了,小提琴手,并且,两人,常见面。,,,X-X-X 细胞 啄木鸟 饲养员 短短 种 氧化物 叶倩倩 自负盈亏 实践 嚷嚷 氧化铜。
rc_c_12,rc,RCs_SPR_ET,12,小提琴手结识了作曲家吗？,c,1,4,list1,小提琴手 结识了 那位 以前 崇拜了 指挥家 很久 的 作曲家 并且 两人 常见面。,小提琴手,结识了,那位,以前,崇拜了,指挥家,很久,的,作曲家,并且,两人,常见面。,,,X-X-X 卵细胞 纷纷 细胞 氯酸钾 笑嘻嘻 短短 种 愈来愈 矛盾 吱吱 赵紫阳。
rc_d_12,rc,RCs_SPR_ET,12,小提琴手结识了作曲家吗？,d,1,4,list2,小提琴手 结识了 那位 以前 指挥家 崇拜了 很久 的 作曲家 并且 两人 常见面。,小提琴手,结识了,那位,以前,指挥家,崇拜了,很久,的,作曲家,并且,两人,常见面。,,,X-X-X 卵细胞 纷纷 细胞 氯酸钾 笑嘻嘻 短短 种 愈来愈 矛盾 吱吱 赵紫阳。
rc_a_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,a,1,1,list4,这个 去年 批评了 电影局 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,这个,去年,批评了,电影局,几次,的,女演员,很欣赏,金城武,因为,他,个性坦率。,,,X-X-X 三十 障碍物 氯酸钾 燃烧 种 慢吞吞 氯酸钾 葡萄牙 我国 种 逻辑思维。
rc_b_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,b,1,1,list1,这个 去年 电影局 批评了 几次 的 女演员 很欣赏 金城武 因为 他 个性坦率。,这个,去年,电影局,批评了,几次,的,女演员,很欣赏,金城武,因为,他,个性坦率。,,,X-X-X 三十 障碍物 氯酸钾 燃烧 种 慢吞吞 氯酸钾 葡萄牙 我国 种 逻辑思维。
rc_c_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,c,2,1,list2,金城武 很欣赏 这个 去年 批评了 电影局 几次 的 女演员 因为 她 个性坦率。,金城武,很欣赏,这个,去年,批评了,电影局,几次,的,女演员,因为,她,个性坦率。,,,X-X-X 乒乓球 问题 三十 静悄悄 碳酸钠 蘑菇 种 慢吞吞 什么 或 轰轰烈烈。
rc_d_13,rc,RCs_SPR_ET,13,这个女演员很欣赏金城武吗？,d,2,1,list3,金城武 很欣赏 这个 去年 电影局 批评了 几次 的 女演员 因为 她 个性坦率。,金城武,很欣赏,这个,去年,电影局,批评了,几次,的,女演员,因为,她,个性坦率。,,,X-X-X 乒乓球 问题 三十 静悄悄 碳酸钠 蘑菇 种 慢吞吞 什么 或 轰轰烈烈。
rc_a_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,a,2,2,list4,那位 上个月 约会了 飞行员 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,那位,上个月,约会了,飞行员,两次,的,空姐,惹怒了,经理,因为,她,常迟到。,,,X-X-X 氯酸钾 氨基酸 规范化 蓦地 种 伊犁 叶倩倩 繁殖 研究 种 肖武斌。
rc_b_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,b,1,2,list1,那位 上个月 飞行员 约会了 两次 的 空姐 惹怒了 经理 因为 她 常迟到。,那位,上个月,飞行员,约会了,两次,的,空姐,惹怒了,经理,因为,她,常迟到。,,,X-X-X 氯酸钾 氨基酸 规范化 蓦地 种 伊犁 叶倩倩 繁殖 研究 种 肖武斌。
rc_c_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,c,2,2,list2,经理 惹怒了 那位 上个月 约会了 飞行员 两次 的 空姐 因为 他 经常 冷嘲热讽。,经理,惹怒了,那位,上个月,约会了,飞行员,两次,的,空姐,因为,他,经常,冷嘲热讽。,,X-X-X 碳酸钠 纷纷 鄂伦春 鄂伦春 规范化 割裂 种 旋转 研究 种 概念 津津有味。
rc_d_14,rc,RCs_SPR_ET,14,那位飞行员上个月约过空姐吗？,d,1,2,list3,经理 惹怒了 那位 上个月 飞行员 约会了 两次 的 空姐 因为 他 经常 冷嘲热讽。,经理,惹怒了,那位,上个月,飞行员,约会了,两次,的,空姐,因为,他,经常,冷嘲热讽。,,X-X-X 碳酸钠 纷纷 鄂伦春 鄂伦春 规范化 割裂 种 旋转 研究 种 概念 津津有味。
rc_a_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,a,1,3,list4,这位 今天 称赞了 导演 多次 的 男明星 批评了 影评家 并且 表示 很难过。,这位,今天,称赞了,导演,多次,的,男明星,批评了,影评家,并且,表示,很难过。,,,X-X-X 环境 硫酸铜 遵循 贵族 种 碳酸钠 冯玉祥 奴隶主 矛盾 规律 椭圆形。
rc_b_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,b,2,3,list1,这位 今天 导演 称赞了 多次 的 男明星 批评了 影评家 并且 表示 很难过。,这位,今天,导演,称赞了,多次,的,男明星,批评了,影评家,并且,表示,很难过。,,,X-X-X 环境 硫酸铜 遵循 贵族 种 碳酸钠 冯玉祥 奴隶主 矛盾 规律 椭圆形。
rc_c_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,c,1,3,list2,影评家 批评了 这位 今天 称赞了 导演 多次 的 男明星 并且 表示 很难过。,影评家,批评了,这位,今天,称赞了,导演,多次,的,男明星,并且,表示,很难过。,,,X-X-X 柴油机 习惯 环境 脂肪酸 遵循 贵族 我 二十八 矛盾 规律 白细胞。
rc_d_15,rc,RCs_SPR_ET,15,男明星今天多次称赞了导演吗？,d,2,3,list3,影评家 批评了 这位 今天 导演 称赞了 多次 的 男明星 并且 表示 很难过。,影评家,批评了,这位,今天,导演,称赞了,多次,的,男明星,并且,表示,很难过。,,,X-X-X 柴油机 习惯 环境 脂肪酸 遵循 贵族 我 二十八 矛盾 规律 白细胞。
rc_a_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,a,2,4,list4,那位 昨天 采访了 作家 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,那位,昨天,采访了,作家,两个小时,的,记者,质疑了,候选人,而且,扬言,报复。,,,X-X-X 趋势 冯玉祥 衣服 氢氧化钠 种 溶液 椭圆形 饲养员 教育 消瘦 牲畜。
rc_b_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,b,2,4,list1,那位 昨天 作家 采访了 两个小时 的 记者 质疑了 候选人 而且 扬言 报复。,那位,昨天,作家,采访了,两个小时,的,记者,质疑了,候选人,而且,扬言,报复。,,,X-X-X 趋势 冯玉祥 衣服 氢氧化钠 种 溶液 椭圆形 饲养员 教育 消瘦 牲畜。
rc_c_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,c,1,4,list2,候选人 质疑了 那位 昨天 采访了 作家 两个小时 的 记者 而且 扬言 报复。,候选人,质疑了,那位,昨天,采访了,作家,两个小时,的,记者,而且,扬言,报复。,,,X-X-X 脂肪酸 纷纷 趋势 细胞质 衣服 投机倒把 种 溶液 技术 摹仿 牲畜。
rc_d_16,rc,RCs_SPR_ET,16,那位候选人昨天质疑了记者吗？,d,1,4,list3,候选人 质疑了 那位 昨天 作家 采访了 两个小时 的 记者 而且 扬言 报复。,候选人,质疑了,那位,昨天,作家,采访了,两个小时,的,记者,而且,扬言,报复。,,,X-X-X 脂肪酸 纷纷 趋势 细胞质 衣服 投机倒把 种 溶液 技术 摹仿 牲畜。
rc_a_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,a,1,1,list1,那个 今早 追了 犯人 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,那个,今早,追了,犯人,一会儿,的,小狗,嗅出,主人,并且,停了,下来。,,,X-X-X 嫦娥 傣族 琵琶 蒋介石 种 蒸馏 浩瀚 给予 实践 乙炔 环境。
rc_b_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,b,1,1,list2,那个 今早 犯人 追了 一会儿 的 小狗 嗅出 主人 并且 停了 下来。,那个,今早,犯人,追了,一会儿,的,小狗,嗅出,主人,并且,停了,下来。,,,X-X-X 嫦娥 傣族 琵琶 蒋介石 种 蒸馏 浩瀚 给予 实践 乙炔 环境。
rc_c_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,c,2,1,list3,主人 嗅出 那个 今早 追了 犯人 一会儿 的 小狗 并且 停了 下来。,主人,嗅出,那个,今早,追了,犯人,一会儿,的,小狗,并且,停了,下来。,,,X-X-X 炎症 矛盾 灌输 炼钢 琵琶 蒋介石 种 防治 政策 铅笔 环境。
rc_d_17,rc,RCs_ET,17,那个小狗嗅出主人吗?,d,2,1,list4,主人 嗅出 那个 今早 犯人 追了 一会儿 的 小狗 并且 停了 下来。,主人,嗅出,那个,今早,犯人,追了,一会儿,的,小狗,并且,停了,下来。,,,X-X-X 炎症 矛盾 灌输 炼钢 琵琶 蒋介石 种 防治 政策 铅笔 环境。
rc_a_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,a,1,1,list2,那位 昨天 教训了 邻居 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,那位,昨天,教训了,邻居,一番,的,妈妈,通知,管理员,然后,报怨了,一个小时。,,,X-X-X 趋势 氯化钠 煤炭 锻炼 种 思维 六十 碳酸钠 矛盾 肖武斌 气喘吁吁。
rc_b_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,b,1,1,list3,那位 昨天 邻居 教训了 一番 的 妈妈 通知 管理员 然后 报怨了 一个小时。,那位,昨天,邻居,教训了,一番,的,妈妈,通知,管理员,然后,报怨了,一个小时。,,,X-X-X 趋势 氯化钠 煤炭 锻炼 种 思维 六十 碳酸钠 矛盾 肖武斌 气喘吁吁。
rc_c_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,c,2,1,list4,管理员 通知 那位 昨天 教训了 邻居 一番 的 妈妈 然后 报怨了 一个小时。,管理员,通知,那位,昨天,教训了,邻居,一番,的,妈妈,然后,报怨了,一个小时。,,,X-X-X 婚姻 纷纷 趋势 张国焘 沿岸 锻炼 种 逐渐 矛盾 古希腊 眼花缭乱。
rc_d_18,rc,RCs_ET,18,那位妈妈通知管理员吗?,d,2,1,list1,管理员 通知 那位 昨天 邻居 教训了 一番 的 妈妈 然后 报怨了 一个小时。,管理员,通知,那位,昨天,邻居,教训了,一番,的,妈妈,然后,报怨了,一个小时。,,,X-X-X 婚姻 纷纷 趋势 张国焘 沿岸 锻炼 种 逐渐 矛盾 古希腊 眼花缭乱。
rc_a_19,rc,RCs_ET,19,这位政治家附议外交官吗?,a,1,1,list3,这位 去年 密会了 外交部 一次 的 政治家 附议 外交官 并且 相信他。,这位,去年,密会了,外交部,一次,的,政治家,附议,外交官,并且,相信他。,,,,X-X-X 解放 卵细胞 碳酸钠 蝴蝶 种 笑嘻嘻 衬衫 啄木鸟 矛盾 鄂伦春。
